[run,subrun,event,newhaspi0]
[6916,122,6112,1.0]
[7012,1714,85701,1.0]
[7012,1714,85702,1.0]
[7012,1714,85708,1.0]
[7012,1714,85711,1.0]
[7012,1714,85714,1.0]
[7012,1714,85727,1.0]
[7012,1714,85734,1.0]
[7012,1714,85743,1.0]
[7054,446,22309,1.0]
[7054,446,22313,1.0]
[7054,446,22316,1.0]
[7054,446,22318,1.0]
[7054,446,22323,1.0]
[7054,446,22325,1.0]
[7054,446,22333,1.0]
[7054,446,22338,1.0]
[7054,446,22350,1.0]
[5067,0,26,1.0]
[6173,136,6827,1.0]
[6173,137,6900,1.0]
[6173,138,6921,1.0]
[6173,139,6992,1.0]
[6173,141,7055,1.0]
[6173,141,7067,1.0]
[6301,19,982,1.0]
[6301,110,5516,1.0]
[6301,112,5622,1.0]
[6301,112,5631,1.0]
[6301,113,5689,1.0]
[6301,114,5721,1.0]
[7014,916,45802,1.0]
[7014,916,45817,1.0]
[7014,916,45831,1.0]
[7014,916,45848,1.0]
[7054,1277,63853,1.0]
[7054,1277,63856,1.0]
[7054,1277,63861,1.0]
[7054,1277,63873,1.0]
[7054,1277,63874,1.0]
[7054,1277,63876,1.0]
[7054,1277,63887,1.0]
[7054,1277,63888,1.0]
[7014,1662,83131,1.0]
[7014,1662,83133,1.0]
[7014,1662,83136,1.0]
[7014,1662,83145,1.0]
[6949,94,4725,1.0]
[6949,96,4802,1.0]
[6949,96,4844,1.0]
[6949,97,4883,1.0]
[6949,99,4979,1.0]
[6978,119,5951,1.0]
[6978,119,5999,1.0]
[6978,120,6001,1.0]
[6978,120,6006,1.0]
[6978,120,6038,1.0]
[6978,121,6078,1.0]
[6959,117,5862,1.0]
[6959,117,5897,1.0]
[6959,128,6433,1.0]
[6959,129,6464,1.0]
[6959,132,6603,1.0]
[6959,132,6609,1.0]
[6959,133,6672,1.0]
[6959,133,6694,1.0]
[6959,133,6697,1.0]
[6959,134,6735,1.0]
[6959,135,6766,1.0]
[7004,182,9102,1.0]
[7004,182,9103,1.0]
[7004,182,9130,1.0]
[7004,182,9137,1.0]
[7004,182,9142,1.0]
[7004,182,9145,1.0]
[7004,182,9147,1.0]
[6626,18,945,1.0]
[6626,19,953,1.0]
[6626,21,1053,1.0]
[6626,23,1173,1.0]
[7461,14,733,1.0]
[7012,1631,81554,1.0]
[7012,1631,81565,1.0]
[7012,1631,81595,1.0]
[7012,1631,81597,1.0]
[7001,191,9552,1.0]
[7001,191,9564,1.0]
[7001,191,9565,1.0]
[7001,191,9576,1.0]
[7001,191,9592,1.0]
[7001,191,9596,1.0]
[7001,191,9597,1.0]
[7001,191,9599,1.0]
[6880,23,1173,1.0]
[6880,23,1182,1.0]
[7023,263,13151,1.0]
[7023,263,13161,1.0]
[7023,263,13163,1.0]
[7023,263,13173,1.0]
[7023,263,13175,1.0]
[7023,263,13184,1.0]
[7023,263,13190,1.0]
[7023,263,13200,1.0]
[6156,1,85,1.0]
[5527,50,2537,1.0]
[5527,50,2547,1.0]
[5527,51,2596,1.0]
[5527,54,2719,1.0]
[5527,56,2804,1.0]
[5527,57,2887,1.0]
[5527,57,2897,1.0]
[7004,462,23105,1.0]
[7004,462,23123,1.0]
[7004,462,23132,1.0]
[7004,462,23139,1.0]
[7004,462,23142,1.0]
[6572,0,4,1.0]
[6572,0,5,1.0]
[6572,0,14,1.0]
[6572,0,40,1.0]
[6572,1,54,1.0]
[6572,1,62,1.0]
[6572,2,127,1.0]
[6572,2,139,1.0]
[6825,30,1509,1.0]
[6825,30,1512,1.0]
[6825,30,1516,1.0]
[6825,30,1535,1.0]
[6825,33,1670,1.0]
[6825,33,1675,1.0]
[6825,33,1687,1.0]
[6825,34,1715,1.0]
[6825,35,1754,1.0]
[6825,35,1790,1.0]
[6825,35,1798,1.0]
[6825,36,1825,1.0]
[6825,37,1859,1.0]
[6825,37,1892,1.0]
[6825,38,1908,1.0]
[6825,38,1929,1.0]
[6825,39,1972,1.0]
[6078,82,4107,1.0]
[6444,177,8869,1.0]
[6444,181,9097,1.0]
[6444,182,9103,1.0]
[7014,41,2055,1.0]
[7014,41,2059,1.0]
[7014,41,2066,1.0]
[7014,41,2078,1.0]
[7014,41,2087,1.0]
[7014,41,2091,1.0]
[5538,31,1555,1.0]
[5538,31,1595,1.0]
[7008,75,3767,1.0]
[7059,61,3056,1.0]
[7059,75,3754,1.0]
[7059,77,3892,1.0]
[7059,79,3980,1.0]
[7059,79,3996,1.0]
[7025,309,15458,1.0]
[7025,309,15460,1.0]
[7025,309,15461,1.0]
[7025,309,15469,1.0]
[7025,309,15474,1.0]
[7025,309,15488,1.0]
[5546,4,205,1.0]
[5546,4,236,1.0]
[5546,7,394,1.0]
[5975,20,1032,1.0]
[6854,80,4006,1.0]
[6854,80,4014,1.0]
[5185,41,2061,1.0]
[5185,41,2064,1.0]
[5185,73,3652,1.0]
