[run,subrun,event,Enu_true,newhaspi0]
[10521,275,13783,1531.809687614441,1.0]
[10521,276,13819,1486.7199659347534,1.0]
[10521,276,13827,1568.2867765426636,1.0]
[10521,281,14055,1607.6613664627075,1.0]
[10521,281,14058,1785.578727722168,1.0]
[10521,283,14163,900.0834822654724,1.0]
[10521,283,14177,1037.2514724731445,1.0]
[10521,283,14185,1466.1489725112915,1.0]
[10521,283,14191,1721.1216688156128,1.0]
[8435,29,1461,775.3162384033203,1.0]
[8435,30,1544,790.1793122291565,1.0]
[8435,34,1731,598.7989902496338,1.0]
[8435,34,1740,1351.6162633895874,1.0]
[8435,35,1751,4505.673885345459,1.0]
[8435,35,1752,950.5388736724854,1.0]
[8435,35,1776,1367.8343296051025,1.0]
[13582,32,1605,968.3924317359924,1.0]
[13582,32,1609,1037.4692678451538,1.0]
[13582,32,1614,905.7338833808899,1.0]
[13582,32,1616,489.064484834671,1.0]
[13582,32,1626,1366.4137125015259,1.0]
[13582,32,1627,3755.7590007781982,1.0]
[13582,32,1636,4083.6448669433594,1.0]
[10755,226,11318,1738.2173538208008,1.0]
[10755,228,11429,1285.9079837799072,1.0]
[10682,11,582,2382.8132152557373,1.0]
[10682,11,596,738.4650707244873,1.0]
[10682,12,635,780.6857228279114,1.0]
[10682,12,646,1958.0973386764526,1.0]
[10682,12,647,1296.213984489441,1.0]
[10682,13,656,842.9396748542786,1.0]
[12002,16,844,1300.275206565857,1.0]
[12002,42,2146,2156.993627548218,1.0]
[11639,44,2236,1223.6547470092773,1.0]
[11639,56,2835,1200.5479335784912,1.0]
[11639,78,3907,1227.0249128341675,1.0]
[11639,78,3921,514.3643617630005,1.0]
[10436,33,1696,2122.0345497131348,1.0]
[10436,34,1734,839.7006392478943,1.0]
[10436,34,1746,1001.5980005264282,1.0]
[10436,34,1749,1103.0632257461548,1.0]
[9519,196,9848,1492.1940565109253,1.0]
[9519,198,9908,1317.0936107635498,1.0]
[9519,198,9916,1415.3668880462646,1.0]
[9519,199,9958,1515.777826309204,1.0]
[9519,199,9982,919.1970825195312,1.0]
[9519,202,10120,1114.5364046096802,1.0]
[9581,23,1153,2056.5428733825684,1.0]
[9581,23,1195,1121.0695505142212,1.0]
[9581,24,1201,1673.725962638855,1.0]
[9581,24,1204,1089.8336172103882,1.0]
[9581,25,1292,1052.3040294647217,1.0]
[9581,25,1300,1715.9545421600342,1.0]
[9581,26,1334,1292.445421218872,1.0]
[9581,27,1354,1135.087013244629,1.0]
[9581,27,1392,675.0587821006775,1.0]
[9581,27,1397,685.4407787322998,1.0]
[9581,28,1438,1248.6257553100586,1.0]
[11186,223,11186,1300.0342845916748,1.0]
[11186,223,11190,1932.137131690979,1.0]
[8853,247,12356,1527.7587175369263,1.0]
[8853,247,12389,825.8755803108215,1.0]
[8853,247,12396,1172.5585460662842,1.0]
[8853,248,12433,770.3524231910706,1.0]
[9605,286,14307,1152.6947021484375,1.0]
[9605,287,14371,1354.567527770996,1.0]
[9605,291,14559,1326.5774250030518,1.0]
[10448,81,4090,911.7264747619629,1.0]
[10448,81,4095,1206.7521810531616,1.0]
[10448,82,4150,1983.4376573562622,1.0]
[10448,83,4167,1140.4260396957397,1.0]
[9719,11,555,1326.5981674194336,1.0]
[9719,11,563,2893.310070037842,1.0]
[9719,11,577,939.2601847648621,1.0]
[9719,12,612,1462.8219604492188,1.0]
[9719,12,627,735.2076768875122,1.0]
[9719,13,652,4395.068645477295,1.0]
[9719,13,668,1701.9071578979492,1.0]
[9719,13,673,1586.9686603546143,1.0]
[9719,13,698,1122.7152347564697,1.0]
[9358,307,15367,1649.0726470947266,1.0]
[9358,307,15378,1543.680191040039,1.0]
[9358,307,15379,3084.3167304992676,1.0]
[9358,307,15392,1535.1470708847046,1.0]
[9358,307,15393,1168.0055856704712,1.0]
[9358,308,15423,1460.6338739395142,1.0]
[9358,308,15444,1415.7896041870117,1.0]
[9358,309,15476,764.605462551117,1.0]
[9358,309,15491,1638.5438442230225,1.0]
[9358,310,15522,723.4947681427002,1.0]
[11168,45,2269,1348.707914352417,1.0]
[11168,45,2278,1242.1786785125732,1.0]
[11168,45,2287,1051.047921180725,1.0]
[11168,45,2290,677.5290966033936,1.0]
[9386,10,503,1151.2407064437866,1.0]
[9386,10,512,1347.6983308792114,1.0]
[9386,11,582,1005.5493116378784,1.0]
[9386,11,589,683.6167573928833,1.0]
[9386,12,648,4857.696056365967,1.0]
[9386,12,650,682.805597782135,1.0]
[9386,13,654,777.8991460800171,1.0]
[9386,13,673,1350.0512838363647,1.0]
[9386,13,675,1263.6018991470337,1.0]
[9706,159,7999,567.207396030426,1.0]
[8680,37,1883,1213.0069732666016,1.0]
[8680,38,1919,929.0228486061096,1.0]
[8680,39,1968,1519.6418762207031,1.0]
[8680,39,1992,1805.482029914856,1.0]
[11215,3,155,1119.0801858901978,1.0]
[11215,38,1921,1260.2465152740479,1.0]
[9217,13,659,1183.8163137435913,1.0]
[9217,13,681,1475.8340120315552,1.0]
[9217,14,702,1353.342890739441,1.0]
[8446,4,218,1354.839563369751,1.0]
[8446,4,230,1643.6131000518799,1.0]
[8446,5,268,819.2269206047058,1.0]
[8446,5,277,1013.4516954421997,1.0]
[8446,7,351,1336.9234800338745,1.0]
[8446,7,363,969.2715406417847,1.0]
[8446,7,397,1369.6273565292358,1.0]
[11917,37,1880,2421.922206878662,1.0]
[11219,30,1522,1159.1978073120117,1.0]
[11219,33,1677,1599.2374420166016,1.0]
[9356,10,549,903.2586216926575,1.0]
[9523,25,1289,777.465283870697,1.0]
[9523,26,1320,1036.2070798873901,1.0]
[9523,26,1345,1241.007924079895,1.0]
[9523,27,1380,857.210636138916,1.0]
[9523,28,1404,1213.0032777786255,1.0]
[9523,28,1430,1526.1082649230957,1.0]
[10922,43,2155,1180.4254055023193,1.0]
[12083,153,7668,1724.6849536895752,1.0]
[12083,153,7688,1982.8723669052124,1.0]
[12083,153,7696,1071.6098546981812,1.0]
[12083,305,15299,837.5320434570312,1.0]
[9498,5,273,1157.0649147033691,1.0]
[10504,351,17564,1701.253890991211,1.0]
[10504,351,17567,1074.9413967132568,1.0]
[10504,351,17580,1177.8851747512817,1.0]
[10504,351,17594,1171.8391180038452,1.0]
[10833,37,1858,1155.670166015625,1.0]
[10833,37,1885,1957.3192596435547,1.0]
[10833,37,1886,1373.2019662857056,1.0]
[10833,38,1909,720.2121615409851,1.0]
[10833,38,1924,1094.3602323532104,1.0]
[10833,40,2012,3140.6409740448,1.0]
[10833,40,2018,3641.207456588745,1.0]
[9340,243,12165,2829.0205001831055,1.0]
[9340,243,12191,1083.2916498184204,1.0]
[9340,245,12251,1282.102346420288,1.0]
