[run,subrun,event,newhaspi0]
[17339,37,1866,1.0]
[17339,37,1884,1.0]
[17339,189,9451,1.0]
[17339,189,9453,1.0]
[17339,189,9486,1.0]
[17339,189,9495,1.0]
[17339,281,14053,1.0]
[17339,307,15395,1.0]
[17339,34,1746,1.0]
[17339,185,9295,1.0]
[17339,185,9298,1.0]
[17339,207,10353,1.0]
[17339,207,10391,1.0]
[17339,234,11712,1.0]
[17339,290,14513,1.0]
[17339,290,14538,1.0]
[17341,33,1651,1.0]
[17341,33,1658,1.0]
[17341,161,8073,1.0]
[17341,161,8099,1.0]
[17341,138,6902,1.0]
[17341,156,7805,1.0]
[17341,156,7806,1.0]
[17341,154,7738,1.0]
[17341,155,7759,1.0]
[17341,155,7789,1.0]
[17341,166,8333,1.0]
[17341,88,4412,1.0]
[17341,88,4414,1.0]
[17341,143,7182,1.0]
[17341,143,7193,1.0]
[17341,5,284,1.0]
[17341,69,3468,1.0]
[17341,69,3478,1.0]
[17341,87,4353,1.0]
[17341,131,6557,1.0]
[17341,131,6584,1.0]
[17341,3,163,1.0]
[17341,17,851,1.0]
[17341,42,2150,1.0]
[17341,113,5660,1.0]
[17341,113,5674,1.0]
[17341,130,6514,1.0]
[17341,142,7142,1.0]
[17341,142,7144,1.0]
[17341,10,548,1.0]
[17341,35,1768,1.0]
[17341,36,1812,1.0]
[17341,36,1841,1.0]
[17341,104,5215,1.0]
[17341,104,5235,1.0]
[17341,120,6004,1.0]
[17341,120,6005,1.0]
[17341,120,6009,1.0]
[17341,120,6012,1.0]
[17341,4,219,1.0]
[17341,82,4103,1.0]
[17341,99,4987,1.0]
[17341,123,6190,1.0]
[17341,0,10,1.0]
[17341,13,662,1.0]
[17341,15,764,1.0]
[17341,15,773,1.0]
[17341,15,797,1.0]
[17341,48,2414,1.0]
[17341,67,3380,1.0]
[17341,1,70,1.0]
[17341,16,831,1.0]
[17341,16,837,1.0]
[17341,23,1195,1.0]
[17341,134,6705,1.0]
[17341,141,7051,1.0]
[17341,141,7066,1.0]
[17341,29,1458,1.0]
[17341,29,1478,1.0]
[17341,29,1479,1.0]
[17341,29,1487,1.0]
[17341,59,2952,1.0]
[17341,59,2953,1.0]
[17341,96,4840,1.0]
[17341,96,4842,1.0]
[17341,124,6237,1.0]
[17341,124,6239,1.0]
[17341,124,6243,1.0]
[17343,23,1170,1.0]
[17343,23,1200,1.0]
[17343,47,2351,1.0]
[17343,47,2396,1.0]
[17343,56,2820,1.0]
[17343,56,2825,1.0]
[17343,2,132,1.0]
[17343,4,210,1.0]
[17343,4,233,1.0]
[17343,27,1352,1.0]
[17343,27,1353,1.0]
[17343,27,1382,1.0]
[17343,33,1653,1.0]
[17343,59,2977,1.0]
[17343,3,196,1.0]
[17343,3,198,1.0]
[17343,32,1637,1.0]
[17343,32,1641,1.0]
[17343,36,1824,1.0]
[17343,53,2680,1.0]
[17343,53,2689,1.0]
[17344,19,970,1.0]
[17344,78,3921,1.0]
[17344,113,5664,1.0]
[17344,113,5669,1.0]
[17344,113,5691,1.0]
[17344,119,5975,1.0]
[17344,3,193,1.0]
[17344,5,282,1.0]
[17344,38,1921,1.0]
[17344,77,3852,1.0]
[17344,77,3864,1.0]
[17344,95,4760,1.0]
[14550,9,498,1.0]
[14550,36,1802,1.0]
[14550,61,3082,1.0]
[14550,189,9452,1.0]
[14550,232,11611,1.0]
[14550,232,11613,1.0]
[17344,27,1355,1.0]
[17344,27,1397,1.0]
[17344,115,5781,1.0]
[17344,115,5784,1.0]
[17344,115,5800,1.0]
[17344,2,122,1.0]
[17344,2,146,1.0]
[17344,23,1159,1.0]
[17344,32,1615,1.0]
[17344,49,2451,1.0]
[17344,58,2903,1.0]
[17344,58,2946,1.0]
[17344,70,3512,1.0]
[17345,1,51,1.0]
[17345,1,64,1.0]
[17345,1,99,1.0]
[17345,2,103,1.0]
[17345,2,121,1.0]
[17345,2,129,1.0]
[17345,2,148,1.0]
[17345,12,618,1.0]
[17345,12,621,1.0]
[17345,31,1560,1.0]
[17345,31,1561,1.0]
[17345,9,476,1.0]
[17345,18,907,1.0]
[17345,18,917,1.0]
[17345,18,931,1.0]
[17345,33,1680,1.0]
[17345,34,1715,1.0]
[17345,34,1731,1.0]
[17348,0,4,1.0]
[17348,0,44,1.0]
[17348,15,757,1.0]
[17348,15,796,1.0]
[17348,25,1282,1.0]
[17348,39,1961,1.0]
[17348,8,431,1.0]
[17348,8,449,1.0]
[17348,13,676,1.0]
[17348,13,682,1.0]
[17348,13,700,1.0]
[17348,24,1208,1.0]
[17348,26,1326,1.0]
[17348,26,1343,1.0]
[17348,26,1348,1.0]
[17348,3,164,1.0]
[17348,9,454,1.0]
[17348,9,458,1.0]
[17348,19,996,1.0]
[17348,22,1101,1.0]
[17348,22,1105,1.0]
[17348,22,1108,1.0]
[17348,22,1132,1.0]
[17348,7,367,1.0]
[17348,7,372,1.0]
[17348,7,380,1.0]
[17348,7,391,1.0]
[17348,7,399,1.0]
[17348,20,1001,1.0]
[17348,20,1012,1.0]
[17348,20,1023,1.0]
[17348,21,1085,1.0]
[17348,23,1165,1.0]
[17348,23,1190,1.0]
[17348,33,1670,1.0]
[17348,33,1672,1.0]
[17348,33,1674,1.0]
[17348,33,1686,1.0]
[17348,33,1693,1.0]
[17348,34,1744,1.0]
[14550,23,1182,1.0]
[14550,105,5277,1.0]
[14550,105,5290,1.0]
[14550,193,9665,1.0]
[17348,4,249,1.0]
[17348,6,339,1.0]
[17348,12,608,1.0]
[17348,12,620,1.0]
[17348,17,851,1.0]
[17348,29,1451,1.0]
[17348,29,1454,1.0]
[17349,29,1492,1.0]
[17349,76,3837,1.0]
[17349,85,4267,1.0]
[17349,99,4984,1.0]
[17349,99,4996,1.0]
[17349,15,787,1.0]
